rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Heavy third-party script load,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"The homepage loads 63 scripts, which is the usual root cause of slow interaction readiness on mobile.","The homepage loads 63 scripts, which is the usual root cause of slow interaction readiness on mobile.","notes: Audit third-party tags, defer non-critical scripts, and remove duplicated analytics or marketing pixels.","Measured on the live homepage: 41 inline and 22 external <script> tags, 698 KB of HTML.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_1_heavy_third_party_script_load.html
2,Product pages lack visible reviews,HIGH,Product Page,Low,0.5-2 days,4,10,no,trust,"Product pages show a reviews heading but no actual review content, ratings, or social proof, undermining purchase confidence.","Product pages show a reviews heading but no actual review content, ratings, or social proof, undermining purchase confidence.","cta: Add to Cart; notes: Ensure review summaries, star ratings, and at least a few review excerpts render visibly on product pages near the add-to-cart area.",h2: Reviews for Anytime Ankle Sock | h2: Added to Cart,Trust & Social Proof,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_2_product_pages_lack_visible_reviews.html
3,No guarantee or return policy,MEDIUM,Product Page,Medium,2-5 days,4,10,no,trust,"Product pages lack shipping, return, or guarantee messaging near the purchase path, reducing trust at the decision point.","Product pages lack shipping, return, or guarantee messaging near the purchase path, reducing trust at the decision point.",cta: Add to Cart; notes: Display a concise return policy and satisfaction guarantee message directly on product pages near the price and add-to-cart controls.,copy: Free ground shipping on orders over $100 | h2: Refund policy,Trust & Social Proof,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_3_no_guarantee_or_return_policy.html
4,Shipping threshold not prominent,MEDIUM,Product Page,Low,0.5-2 days,4,10,no,conversion,"The free shipping threshold is buried in page copy rather than surfaced near prices or CTAs, so visitors may not see it until checkout.","The free shipping threshold is buried in page copy rather than surfaced near prices or CTAs, so visitors may not see it until checkout.",notes: Display the free shipping threshold prominently near product prices and in the cart drawer so it is visible before checkout.,Free ground shipping on orders over $100,Pricing & Cost Transparency,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_4_shipping_threshold_not_prominent.html
5,Late fee disclosure on product pages,MEDIUM,Product Page,Medium,2-5 days,4,10,no,conversion,"Product pages show prices but no shipping or fee information near the price, leaving cost details to be discovered later in the funnel.","Product pages show prices but no shipping or fee information near the price, leaving cost details to be discovered later in the funnel.",notes: Add a shipping and returns cost summary directly on product pages near the price to set expectations before add-to-cart.,prices: $100 $5.00 $105 $105 $105 $100,Pricing & Cost Transparency,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_5_late_fee_disclosure_on_product_pages.html
6,Email form lacks visible labels,MEDIUM,Forms & Signup,Low,0.5-2 days,3,10,no,conversion,"Email input fields lack visible labels, causing user confusion about what information is required.","Email input fields lack visible labels, causing user confusion about what information is required.","cta: Sign Up / Get Notified; notes: Add visible, descriptive labels to each email input so users clearly understand what to enter before submitting.",form: inputs=1 submit=Sign Up labels=[] | form: inputs=1 submit=Get Notified labels=['Email'],Form & Interaction Friction,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_6_email_form_lacks_visible_labels.html
7,Trust signals absent from collection,MEDIUM,/Collections/Shop-All-26,Medium,2-5 days,3,10,no,trust,"Collection page lacks any review, rating, or credibility indicators, offering no social proof while users browse products.","Collection page lacks any review, rating, or credibility indicators, offering no social proof while users browse products.",h1: SHOP ALL '26; notes: Add star ratings or review counts to product cards on collection pages to build trust during browsing.,copy: SHOP ALL '26 Free ground shipping on orders over $100 | h2: Refund policy,Trust & Social Proof,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_7_trust_signals_absent_from_collection.html
8,Price context missing on collection,LOW,Collection Page /Collections/Shop-,Medium,2-5 days,3,10,no,conversion,"Collection page lists prices without indicating which items are on sale or the regular price, reducing transparency on value.","Collection page lists prices without indicating which items are on sale or the regular price, reducing transparency on value.",notes: Show strikethrough original prices and sale badges on collection tiles so shoppers can see the discount at a glance.,prices: $100 $5.00 $75 $76 $100 $101,Pricing & Cost Transparency,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_8_price_context_missing_on_collection.html
9,Controls without accessible names,HIGH,Accessibility,Low,0.5-2 days,2,10,yes,trust,"41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 41 of 79 <button> elements contain no text content and no aria-label.,Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_9_controls_without_accessible_names.html
10,Images missing alternative text,MEDIUM,Accessibility,Low,0.5-2 days,2,10,yes,traffic,"3 of 43 images carry no alt attribute, losing both assistive technology support and the image-search traffic the alt text earns.","3 of 43 images carry no alt attribute, losing both assistive technology support and the image-search traffic the alt text earns.","notes: Add descriptive alt text; use alt="""" only for decorative images.",Measured on the live homepage: 3 of 43 <img> elements have no alt attribute.,Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_10_images_missing_alternative_text.html
